policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,forecast_driven_dispatches_post_warmup,capacity_constrained_decisions_post_warmup,dispatch_limit_blocks_post_warmup,sensor_uncertainty_decisions_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days,overflow_bin_hours_glass_bottles,overflow_incidents_glass_bottles,overflow_spilled_kg_glass_bottles,overflow_bin_hours_metal_cans,overflow_incidents_metal_cans,overflow_spilled_kg_metal_cans,overflow_bin_hours_mixed_general_waste,overflow_incidents_mixed_general_waste,overflow_spilled_kg_mixed_general_waste,overflow_bin_hours_plastic_cups,overflow_incidents_plastic_cups,overflow_spilled_kg_plastic_cups
fixed,gradual_upward_trend,0,7.0,27.029954166666904,181.16702182203105,596.5219999999997,21.36847777777778,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,204.0,101589.78671950412,52.03495387811956,59.40923199971001,0.0,25.0,268.4348999999999,47.41602749999999,14.252152777644127,330.10308027764404,158.40000000000117,19.0,507.5030802776452,1360.1082551440893,0.0,0.0,0.0,0.0,8.0,7.0,27.029954166666904,181.16702182203105,596.5219999999997,21.36847777777778,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,204.0,101589.78671950412,52.03495387811956,59.40923199971001,0.0,25.0,268.4348999999999,47.41602749999999,14.252152777644127,330.10308027764404,158.40000000000117,19.0,507.5030802776452,1360.1082551440893,0.0,0.0,0.0,0.0,8.0,10868.215228814157,0,3,0.0,0.0,0.0,0.0,0.0,0.0,22.448987500000175,5.0,174.24229633575874,4.58096666666673,2.0,6.924725486272308
smart,gradual_upward_trend,0,1.0,1.590500000000005,9.893200937564643,876.3679999999994,26.604095833333343,43.999999999999886,11.66666666666667,0.0,55.66666666666656,35.0,330.0,40.0,106689.15280047261,65.60230982152956,33.869572317610356,0.0,320.0,394.3656,30.03279750000001,12.196034040354824,436.59443154035483,132.0000000000008,35.0,603.5944315403556,1617.633076528153,0.0,26.0,0.0,0.0,112.0,1.0,1.590500000000005,9.893200937564643,876.3679999999994,26.604095833333343,43.999999999999886,11.66666666666667,0.0,55.66666666666656,35.0,330.0,40.0,106689.15280047261,65.60230982152956,33.869572317610356,0.0,297.0,394.3656,30.03279750000001,12.196034040354824,436.59443154035483,132.0000000000008,35.0,603.5944315403556,1617.633076528153,0.0,26.0,0.0,0.0,102.0,5940.122968730075,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.590500000000005,1.0,9.893200937564643,0.0,0.0,0.0
fixed,abrupt_behavior_change,0,57.0,668.3173388888898,3996.353697467424,610.5659999999998,21.67500972222223,52.799999999999855,7.33333333333333,0.6666666666666666,60.133333333333184,22.0,396.0,157.0,120598.50467411065,61.0701377109938,60.908335693995284,0.0,24.0,274.7546999999999,46.77068249999999,15.369634910337439,336.8950174103373,158.40000000000117,22.0,517.2950174103385,1386.350646659707,0.0,0.0,0.0,0.0,8.0,57.0,668.3173388888898,3996.353697467424,610.5659999999998,21.67500972222223,52.799999999999855,7.33333333333333,0.6666666666666666,60.133333333333184,22.0,396.0,157.0,120598.50467411065,61.0701377109938,60.908335693995284,0.0,24.0,274.7546999999999,46.77068249999999,15.369634910337439,336.8950174103373,158.40000000000117,22.0,517.2950174103385,1386.350646659707,0.0,0.0,0.0,0.0,8.0,14239.46469647675,0,3,0.0,0.0,0.0,0.0,0.0,0.0,393.5410111111117,31.0,3519.3044349463066,274.7763277777781,26.0,477.04926252111716
smart,abrupt_behavior_change,0,5.0,15.027577777778,121.79468399353502,1132.3249999999994,34.05507777777779,57.99999999999984,14.666666666666675,0.0,72.66666666666652,44.0,435.0,82.0,131488.64867594777,61.82969719106927,33.204204211097924,0.0,319.0,509.5462499999998,35.497530000000005,14.121654055979164,559.1654340559791,174.0000000000014,44.0,777.1654340559804,2082.8033632700276,0.0,31.0,0.0,0.0,111.0,5.0,15.027577777778,121.79468399353502,1132.3249999999994,34.05507777777779,57.99999999999984,14.666666666666675,0.0,72.66666666666652,44.0,435.0,82.0,131488.64867594777,61.82969719106927,33.204204211097924,0.0,296.0,509.5462499999998,35.497530000000005,14.121654055979164,559.1654340559791,174.0000000000014,44.0,777.1654340559804,2082.8033632700276,0.0,31.0,0.0,0.0,101.0,7223.879708113666,0,3,0.0,0.0,0.0,0.0,0.0,0.0,6.631393055555721,2.0,113.20464264133204,8.396184722222278,3.0,8.590041352202974
fixed,traffic_disruption,0,2.0,12.70909166666667,101.50537543175187,594.1539999999998,28.31419687500003,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,215.0,97156.92008578657,49.77679916248987,56.816912330869336,0.0,25.0,267.3692999999999,153.42881850000015,18.289510291089304,439.08762879108934,158.40000000000117,19.0,616.4876287910905,1652.1868451601226,0.0,0.0,0.0,0.0,8.0,2.0,12.70909166666667,101.50537543175187,594.1539999999998,28.31419687500003,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,215.0,97156.92008578657,49.77679916248987,56.816912330869336,0.0,25.0,267.3692999999999,153.42881850000015,18.289510291089304,439.08762879108934,158.40000000000117,19.0,616.4876287910905,1652.1868451601226,0.0,0.0,0.0,0.0,8.0,9930.697485452276,0,3,0.0,0.0,0.0,0.0,0.0,0.0,12.70909166666667,2.0,101.50537543175187,0.0,0.0,0.0
smart,traffic_disruption,0,1.0,0.38205833333334643,0.3603031908101286,798.8919999999995,32.728108125000006,43.066666666666556,10.0,0.0,53.066666666666556,30.0,323.0,44.0,98272.91778721729,62.31442212552181,36.39737695822863,0.0,312.0,359.5013999999999,158.70806775000003,14.835320510271846,533.0447882602717,129.20000000000076,30.0,692.2447882602725,1855.2160325375303,0.0,22.0,0.0,0.0,112.0,1.0,0.38205833333334643,0.3603031908101286,798.8919999999995,32.728108125000006,43.066666666666556,10.0,0.0,53.066666666666556,30.0,323.0,44.0,98272.91778721729,62.31442212552181,36.39737695822863,0.0,289.0,359.5013999999999,158.70806775000003,14.835320510271846,533.0447882602717,129.20000000000076,30.0,692.2447882602725,1855.2160325375303,0.0,22.0,0.0,0.0,102.0,8915.84485626248,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38205833333334643,1.0,0.3603031908101286
fixed,sensor_failure,0,2.0,12.438833333333362,101.50537543175187,594.1539999999997,21.30141666666667,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,216.0,97148.11221208076,49.77249039095815,56.8117615275326,0.0,169.0,267.3692999999999,46.950030000000005,13.79324738486774,328.1125773848677,158.40000000000117,19.0,505.51257738486885,1354.7737073914486,0.0,0.0,0.0,0.0,9.0,2.0,12.438833333333362,101.50537543175187,594.1539999999997,21.30141666666667,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,216.0,97148.11221208076,49.77249039095815,56.8117615275326,0.0,169.0,267.3692999999999,46.950030000000005,13.79324738486774,328.1125773848677,158.40000000000117,19.0,505.51257738486885,1354.7737073914486,0.0,0.0,0.0,0.0,9.0,9939.505359158118,0,3,0.0,0.0,0.0,0.0,0.0,0.0,12.438833333333362,2.0,101.50537543175187,0.0,0.0,0.0
smart,sensor_failure,0,0.0,0.0,0.0,921.731999999999,33.05726666666666,82.13333333333405,9.333333333333332,0.0,91.46666666666738,28.0,616.0,549.0,100658.19089034894,33.16069655661739,39.94372654378926,0.0,2321.0,414.7794000000001,73.61487,14.411419075297834,502.80568907529795,246.40000000000242,28.0,777.2056890753004,2082.911246721805,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,855.8939999999991,30.69603333333333,76.26666666666709,8.666666666666664,0.0,84.93333333333376,26.0,572.0,508.0,93316.30200521674,33.103557999991395,39.87876154069092,0.0,2092.0,385.1523000000001,68.35666499999998,13.398081240138021,466.9070462401381,228.80000000000217,26.0,721.7070462401402,1934.1748839235759,0.0,0.0,0.0,0.0,108.0,6530.932056321651,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,reduced_truck_capacity,0,2.0,12.438833333333362,101.50537543175187,622.7769999999997,21.9449875,52.799999999999855,8.33333333333333,1.1666666666666665,61.133333333333184,25.0,396.0,212.0,97185.12601780414,49.79556094230083,66.45136821730198,0.0,25.0,280.24964999999986,45.63733500000001,18.61915466306929,344.5061396630692,158.40000000000117,25.0,527.9061396630703,1414.7884542970287,0.0,0.0,0.0,0.0,8.0,2.0,12.438833333333362,101.50537543175187,622.7769999999997,21.9449875,52.799999999999855,8.33333333333333,1.1666666666666665,61.133333333333184,25.0,396.0,212.0,97185.12601780414,49.79556094230083,66.45136821730198,0.0,25.0,280.24964999999986,45.63733500000001,18.61915466306929,344.5061396630692,158.40000000000117,25.0,527.9061396630703,1414.7884542970287,0.0,0.0,0.0,0.0,8.0,9902.491553434675,0,3,0.0,0.0,0.0,0.0,0.0,0.0,12.438833333333362,2.0,101.50537543175187,0.0,0.0,0.0
smart,reduced_truck_capacity,0,1.0,1.2657222222222118,1.9956723899216229,824.1889999999995,25.130197222222243,43.86666666666655,10.333333333333334,0.0,54.19999999999989,31.0,329.0,46.0,101229.36185355794,62.894031934241085,55.81988522390843,0.0,311.0,370.88504999999975,24.366330000000016,17.37419946007616,412.6255794600759,131.6000000000008,31.0,575.2255794600767,1541.6045529530056,0.0,21.0,0.0,0.0,112.0,1.0,1.2657222222222118,1.9956723899216229,824.1889999999995,25.130197222222243,43.86666666666655,10.333333333333334,0.0,54.19999999999989,31.0,329.0,46.0,101229.36185355794,62.894031934241085,55.81988522390843,0.0,288.0,370.88504999999975,24.366330000000016,17.37419946007616,412.6255794600759,131.6000000000008,31.0,575.2255794600767,1541.6045529530056,0.0,21.0,0.0,0.0,102.0,5957.765420722762,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2657222222222118,1.0,1.9956723899216229
fixed,combined_demand_operational_stress,0,124.0,2941.938155833336,22655.408264891306,711.9509999999993,32.881927500000025,50.933333333333195,10.0,2.0,60.933333333333195,30.0,379.0,86.0,139295.02078184905,73.71551410585614,79.3703822118798,17.0,169.0,320.3779500000001,178.48622700000004,32.23597245085986,531.10014945086,152.8000000000011,30.0,713.9001494508611,1913.252400528308,0.0,0.0,4.0,0.0,9.0,123.0,2936.938155833336,22650.26560016638,711.9509999999993,32.881927500000025,50.933333333333195,10.0,2.0,60.933333333333195,30.0,379.0,86.0,139295.02078184905,73.71551410585614,79.3703822118798,17.0,169.0,320.3779500000001,178.48622700000004,32.23597245085986,531.10014945086,152.8000000000011,30.0,713.9001494508611,1913.252400528308,0.0,0.0,4.0,0.0,9.0,17451.547485281524,0,3,628.0905000000005,11.0,7458.165077020354,242.83892979166686,4.0,500.27299462346264,993.6124883333352,58.0,12306.757339610636,1077.3962377083344,51.0,2390.212853636838
smart,combined_demand_operational_stress,0,39.0,719.9189716666696,6156.895566171903,1002.6869999999993,46.945646250000046,81.86666666666737,13.33333333333334,2.0,95.20000000000071,40.0,611.0,313.0,160859.9633362653,53.22821470358097,68.74357407532705,5.0,2297.0,451.2091499999999,254.03957437500006,39.86389132845236,745.1126157034523,245.6000000000024,40.0,1030.7126157034547,2762.309810085259,0.0,0.0,1.0,2.0,118.0,39.0,719.9189716666696,6156.895566171903,933.0839999999995,43.65986437500005,76.00000000000041,12.333333333333337,1.8333333333333335,88.33333333333375,37.0,567.0,287.0,151109.10838110803,53.86451105870061,69.81247788454979,5.0,2068.0,419.88779999999986,236.36422687499999,37.323296063650155,693.57532293865,228.00000000000216,37.0,958.5753229386521,2568.9818654755877,0.0,0.0,1.0,2.0,106.0,12385.117629584593,0,3,84.35990708333374,5.0,950.2241851995732,0.0,0.0,0.0,351.6258968750013,19.0,4453.198904375669,283.9331677083345,15.0,753.4724765966648
fixed,normal_patterned,1,1.0,11.30438472222225,41.28918223851713,592.5419999999997,21.251100000000005,52.799999999999855,5.999999999999998,0.0,58.799999999999855,18.0,396.0,183.0,106152.41781027058,54.32849177283383,65.52618383350035,0.0,36.0,266.6438999999999,47.323845,15.230736653216816,329.19848165321673,158.40000000000117,18.0,505.5984816532179,1355.003930830624,0.0,0.0,0.0,0.0,9.0,1.0,11.30438472222225,41.28918223851713,592.5419999999997,21.251100000000005,52.799999999999855,5.999999999999998,0.0,58.799999999999855,18.0,396.0,183.0,106152.41781027058,54.32849177283383,65.52618383350035,0.0,36.0,266.6438999999999,47.323845,15.230736653216816,329.19848165321673,158.40000000000117,18.0,505.5984816532179,1355.003930830624,0.0,0.0,0.0,0.0,9.0,7890.143837178451,0,3,0.0,0.0,0.0,0.0,0.0,0.0,11.30438472222225,1.0,41.28918223851713,0.0,0.0,0.0
smart,normal_patterned,1,0.0,0.0,0.0,1032.2279999999987,32.712465277777795,46.53333333333321,14.333333333333341,0.0,60.86666666666655,43.0,349.0,54.0,106545.6709530652,62.49269797951705,27.531181124823046,0.0,483.0,464.5025999999999,58.02745500000003,11.544151463386324,534.0742064633863,139.6000000000009,43.0,716.6742064633872,1920.686873321878,0.0,29.0,0.0,0.0,116.0,0.0,0.0,0.0,1032.2279999999987,32.712465277777795,46.53333333333321,14.333333333333341,0.0,60.86666666666655,43.0,349.0,54.0,106545.6709530652,62.49269797951705,27.531181124823046,0.0,459.0,464.5025999999999,58.02745500000003,11.544151463386324,534.0742064633863,139.6000000000009,43.0,716.6742064633872,1920.686873321878,0.0,29.0,0.0,0.0,105.0,7538.179876622319,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,high_demand_seasonal,1,112.0,1231.3944277777803,5759.70618713822,624.3439999999995,22.081901388888895,52.799999999999855,8.999999999999998,1.5,61.799999999999855,27.0,396.0,65.0,149995.70343626442,75.93123623347374,61.726626928503876,0.0,35.0,280.9548000000001,46.40609250000001,18.42395739045872,345.7848498904588,158.40000000000117,27.0,531.18484989046,1423.5753977064328,0.0,0.0,0.0,0.0,9.0,103.0,1195.39442777778,5532.30218229454,624.3439999999995,22.081901388888895,52.799999999999855,8.999999999999998,1.5,61.799999999999855,27.0,396.0,65.0,149995.70343626442,75.93123623347374,61.726626928503876,0.0,35.0,280.9548000000001,46.40609250000001,18.42395739045872,345.7848498904588,158.40000000000117,27.0,531.18484989046,1423.5753977064328,0.0,0.0,0.0,0.0,9.0,11721.148454809732,0,3,0.0,0.0,0.0,0.0,0.0,0.0,744.857004166668,66.0,5078.661795780742,486.5374236111117,46.0,681.0443913574793
