policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,forecast_driven_dispatches_post_warmup,capacity_constrained_decisions_post_warmup,dispatch_limit_blocks_post_warmup,sensor_uncertainty_decisions_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days
fixed,gradual_upward_trend,0,2.0,12.0,70.46648635101883,490.892,15.914362500000006,39.5999999999999,5.666666666666665,1.3333333333333333,45.266666666666566,17.0,297.0,55.0,101406.46498994858,63.22887204760479,66.2787352875481,0.0,13.0,220.90139999999997,30.976695000000014,12.280775644034271,264.15887064403427,118.80000000000061,17.0,399.95887064403485,1071.8897733260135,0.0,0.0,0.0,0.0,6.0,2.0,12.0,70.46648635101883,490.892,15.914362500000006,39.5999999999999,5.666666666666665,1.3333333333333333,45.266666666666566,17.0,297.0,55.0,101406.46498994858,63.22887204760479,66.2787352875481,0.0,13.0,220.90139999999997,30.976695000000014,12.280775644034271,264.15887064403427,118.80000000000061,17.0,399.95887064403485,1071.8897733260135,0.0,0.0,0.0,0.0,6.0,10706.274866923162,0,3
smart,gradual_upward_trend,0,2.0,6.0,34.01655197191292,663.9669999999999,18.407830555555563,39.46666666666657,7.33333333333333,0.8333333333333333,46.7999999999999,22.0,296.0,37.0,104456.02523290127,65.35036613670005,52.75556829944509,0.0,127.0,298.7851499999999,14.878822500000004,13.413478086547357,327.07745058654723,118.4000000000006,22.0,467.47745058654783,1252.8395675719482,0.0,17.0,0.0,5.0,81.0,2.0,6.0,34.01655197191292,663.9669999999999,18.407830555555563,39.46666666666657,7.33333333333333,0.8333333333333333,46.7999999999999,22.0,296.0,37.0,104456.02523290127,65.35036613670005,52.75556829944509,0.0,112.0,298.7851499999999,14.878822500000004,13.413478086547357,327.07745058654723,118.4000000000006,22.0,467.47745058654783,1252.8395675719482,0.0,17.0,0.0,5.0,71.0,7693.164558349469,0,3
fixed,abrupt_behavior_change,0,71.0,831.0,5967.644392668219,496.7419999999999,15.91811666666668,39.46666666666657,5.666666666666665,1.3333333333333333,45.13333333333323,17.0,296.0,48.0,118176.94666217871,73.9345261900518,77.23983441972464,1.0,13.0,223.53390000000005,30.37191750000001,14.535834665706737,268.4416521657068,118.4000000000006,17.0,403.8416521657074,1082.2956278040958,0.0,0.0,1.0,0.0,6.0,71.0,831.0,5967.644392668219,496.7419999999999,15.91811666666668,39.46666666666657,5.666666666666665,1.3333333333333333,45.13333333333323,17.0,296.0,48.0,118176.94666217871,73.9345261900518,77.23983441972464,1.0,13.0,223.53390000000005,30.37191750000001,14.535834665706737,268.4416521657068,118.4000000000006,17.0,403.8416521657074,1082.2956278040958,0.0,0.0,1.0,0.0,6.0,14178.354516332205,0,3
smart,abrupt_behavior_change,0,1.0,2.0,5.343678854032191,839.6039999999989,23.074468055555577,48.26666666666654,8.666666666666664,0.5,56.9333333333332,26.0,362.0,55.0,125904.29791987635,64.40776443619626,53.80525552131468,0.0,124.0,377.82179999999994,13.111919999999998,16.285346673388393,407.21906667338834,144.80000000000098,26.0,578.0190666733893,1549.0910986846834,0.0,23.0,0.0,11.0,78.0,1.0,2.0,5.343678854032191,839.6039999999989,23.074468055555577,48.26666666666654,8.666666666666664,0.5,56.9333333333332,26.0,362.0,55.0,125904.29791987635,64.40776443619626,53.80525552131468,0.0,109.0,377.82179999999994,13.111919999999998,16.285346673388393,407.21906667338834,144.80000000000098,26.0,578.0190666733893,1549.0910986846834,0.0,23.0,0.0,11.0,68.0,12413.303972448639,0,3
fixed,traffic_disruption,0,2.0,60.0,314.5522925438437,476.1669999999999,20.72741437500001,39.5999999999999,5.333333333333332,1.1666666666666665,44.93333333333324,16.0,296.0,71.0,96728.2633968057,60.51568030330682,67.17240513667063,1.0,13.0,214.27514999999994,113.00265675000003,16.180020250548765,343.4578270005487,118.80000000000061,16.0,478.25782700054936,1281.7309763614724,0.0,0.0,0.0,0.0,6.0,2.0,60.0,314.5522925438437,476.1669999999999,20.72741437500001,39.5999999999999,5.333333333333332,1.1666666666666665,44.93333333333324,16.0,296.0,71.0,96728.2633968057,60.51568030330682,67.17240513667063,1.0,13.0,214.27514999999994,113.00265675000003,16.180020250548765,343.4578270005487,118.80000000000061,16.0,478.25782700054936,1281.7309763614724,0.0,0.0,0.0,0.0,6.0,9697.991529804165,0,3
smart,traffic_disruption,0,0.0,0.0,0.0,665.996,24.659203125000012,38.26666666666657,7.33333333333333,0.5,45.5999999999999,22.0,287.0,57.0,96898.55097251816,62.523261693456085,48.938662107332405,0.0,127.0,299.69820000000004,118.13547037499995,15.733462334044198,433.5671327090442,114.80000000000055,22.0,570.3671327090448,1528.58391566024,0.0,19.0,0.0,7.0,81.0,0.0,0.0,0.0,665.996,24.659203125000012,38.26666666666657,7.33333333333333,0.5,45.5999999999999,22.0,287.0,57.0,96898.55097251816,62.523261693456085,48.938662107332405,0.0,112.0,299.69820000000004,118.13547037499995,15.733462334044198,433.5671327090442,114.80000000000055,22.0,570.3671327090448,1528.58391566024,0.0,19.0,0.0,7.0,71.0,9842.256246635492,0,3
fixed,sensor_failure,0,1.0,3.0,24.247405007928023,475.288,15.502681944444452,39.5999999999999,5.333333333333332,1.1666666666666665,44.93333333333324,16.0,297.0,72.0,96980.80457547959,60.46938806302503,67.34778095519415,0.0,119.0,213.8796,30.26292750000002,11.955152270979845,256.0976797709799,118.80000000000061,16.0,390.8976797709805,1047.605781786228,0.0,0.0,0.0,0.0,9.0,1.0,3.0,24.247405007928023,475.288,15.502681944444452,39.5999999999999,5.333333333333332,1.1666666666666665,44.93333333333324,16.0,297.0,72.0,96980.80457547959,60.46938806302503,67.34778095519415,0.0,119.0,213.8796,30.26292750000002,11.955152270979845,256.0976797709799,118.80000000000061,16.0,390.8976797709805,1047.605781786228,0.0,0.0,0.0,0.0,9.0,9735.755238666206,0,3
smart,sensor_failure,0,8.0,44.0,229.5472582093065,1071.405999999999,30.60295138888889,37.73333333333324,11.66666666666667,0.0,49.39999999999991,35.0,283.0,40.0,100048.2508528828,65.46803484680201,31.761349477105654,0.0,1565.0,482.1326999999997,41.10723,13.29675914343512,536.5366891434348,113.20000000000053,35.0,684.7366891434353,1835.094326904407,0.0,35.0,0.0,9.0,111.0,8.0,44.0,229.5472582093065,1071.405999999999,30.60295138888889,37.73333333333324,11.66666666666667,0.0,49.39999999999991,35.0,283.0,40.0,100048.2508528828,65.46803484680201,31.761349477105654,0.0,1388.0,482.1326999999997,41.10723,13.29675914343512,536.5366891434348,113.20000000000053,35.0,684.7366891434353,1835.094326904407,0.0,35.0,0.0,9.0,99.0,6463.009108061527,0,3
fixed,reduced_truck_capacity,0,12.0,922.0,3972.215964235992,498.2609999999998,16.32131666666668,37.59999999999991,5.999999999999998,1.5,43.59999999999991,18.0,282.0,67.0,92516.49979143585,60.75420264738367,87.85992382852409,15.0,13.0,224.2174499999999,31.917510000000025,16.620043915507225,272.75500391550713,112.80000000000052,18.0,403.55500391550765,1081.5274104935606,0.0,0.0,4.0,0.0,6.0,12.0,922.0,3972.215964235992,498.2609999999998,16.32131666666668,37.59999999999991,5.999999999999998,1.5,43.59999999999991,18.0,282.0,67.0,92516.49979143585,60.75420264738367,87.85992382852409,15.0,13.0,224.2174499999999,31.917510000000025,16.620043915507225,272.75500391550713,112.80000000000052,18.0,403.55500391550765,1081.5274104935606,0.0,0.0,4.0,0.0,6.0,10252.091463481778,0,3
smart,reduced_truck_capacity,0,0.0,0.0,0.0,706.5569999999997,18.62308472222222,36.933333333333245,8.33333333333333,1.3333333333333333,45.26666666666657,25.0,275.0,29.0,96778.60390355703,65.17077703943244,66.17340437850054,2.0,120.0,317.95065,6.195645000000001,16.90503025490005,341.05132525490006,110.8000000000005,25.0,476.85132525490053,1277.9615516831334,0.0,17.0,0.0,15.0,77.0,0.0,0.0,0.0,706.5569999999997,18.62308472222222,36.933333333333245,8.33333333333333,1.3333333333333333,45.26666666666657,25.0,275.0,29.0,96778.60390355703,65.17077703943244,66.17340437850054,2.0,105.0,317.95065,6.195645000000001,16.90503025490005,341.05132525490006,110.8000000000005,25.0,476.85132525490053,1277.9615516831334,0.0,17.0,0.0,15.0,67.0,9962.203315596564,0,3
fixed,combined_demand_operational_stress,0,111.0,7094.0,62957.590266085885,486.0849999999997,21.34521937500001,29.066666666666602,5.999999999999998,1.5,35.0666666666666,18.0,216.0,1.0,101090.44987028802,86.66876703556922,96.00232656247675,81.0,119.0,218.73825000000002,118.93880250000005,25.24522615527904,362.9222786552791,87.20000000000016,18.0,468.1222786552793,1254.5677067961485,1.0,0.0,9.0,0.0,9.0,111.0,7094.0,62957.590266085885,486.0849999999997,21.34521937500001,29.066666666666602,5.999999999999998,1.5,35.0666666666666,18.0,216.0,1.0,101090.44987028802,86.66876703556922,96.00232656247675,81.0,119.0,218.73825000000002,118.93880250000005,25.24522615527904,362.9222786552791,87.20000000000016,18.0,468.1222786552793,1254.5677067961485,1.0,0.0,9.0,0.0,9.0,17130.33778027132,0,3
smart,combined_demand_operational_stress,0,60.0,849.0,10477.129269783676,1467.1379999999986,54.507661875,56.533333333333175,15.666666666666677,0.6666666666666666,72.19999999999985,47.0,424.0,59.0,161493.00053444918,70.53328115585657,58.73540663191459,0.0,1130.0,660.2120999999994,277.0349816250003,42.101211572883486,979.3482931978832,169.60000000000133,47.0,1195.9482931978846,3205.141425770331,0.0,43.0,0.0,39.0,81.0,60.0,849.0,10477.129269783676,1431.6779999999985,52.95822375,54.53333333333318,15.333333333333343,0.6666666666666666,69.86666666666653,46.0,409.0,59.0,155874.97702004382,70.57637282443352,57.92455481978589,0.0,953.0,644.2550999999995,267.9796575000003,40.48958793755115,952.724345437551,163.60000000000124,46.0,1162.3243454375522,3115.02924577264,0.0,42.0,0.0,39.0,69.0,9208.248112412299,0,3
fixed,normal_patterned,1,1.0,49.0,228.2714395817933,511.8789999999999,16.89209305555556,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,296.0,8.0,104922.94131657662,65.64248080366404,64.76724772628187,1.0,9.0,230.3455499999999,34.284600000000026,12.271658950514155,276.90180895051407,118.80000000000061,18.0,413.70180895051465,1108.7208479873793,0.0,0.0,0.0,0.0,7.0,1.0,49.0,228.2714395817933,511.8789999999999,16.89209305555556,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,296.0,8.0,104922.94131657662,65.64248080366404,64.76724772628187,1.0,9.0,230.3455499999999,34.284600000000026,12.271658950514155,276.90180895051407,118.80000000000061,18.0,413.70180895051465,1108.7208479873793,0.0,0.0,0.0,0.0,7.0,8264.441595608561,0,3
smart,normal_patterned,1,0.0,0.0,0.0,660.7769999999997,18.56532777777779,40.93333333333323,6.999999999999997,0.8333333333333333,47.93333333333323,21.0,307.0,34.0,108056.38927412251,65.18059432628934,57.17269273763096,0.0,151.0,297.34965,15.519847500000001,13.786213188687434,326.65571068868746,122.80000000000067,21.0,470.4557106886881,1260.8213046456842,0.0,16.0,0.0,13.0,91.0,0.0,0.0,0.0,660.7769999999997,18.56532777777779,40.93333333333323,6.999999999999997,0.8333333333333333,47.93333333333323,21.0,307.0,34.0,108056.38927412251,65.18059432628934,57.17269273763096,0.0,131.0,297.34965,15.519847500000001,13.786213188687434,326.65571068868746,122.80000000000067,21.0,470.4557106886881,1260.8213046456842,0.0,16.0,0.0,13.0,80.0,5359.265077644516,0,3
fixed,high_demand_seasonal,1,112.0,1213.0,7410.060533448908,518.3539999999997,16.63700694444445,39.46666666666657,5.999999999999998,1.5,45.46666666666657,18.0,294.0,0.0,147305.47623389022,92.78500644613894,90.92930631721619,3.0,9.0,233.25929999999997,31.62096000000002,18.049323377161933,282.9295833771619,118.4000000000006,18.0,419.3295833771625,1123.8032834507956,0.0,0.0,1.0,0.0,7.0,110.0,1209.0,7381.73510815187,518.3539999999997,16.63700694444445,39.46666666666657,5.999999999999998,1.5,45.46666666666657,18.0,294.0,0.0,147305.47623389022,92.78500644613894,90.92930631721619,3.0,9.0,233.25929999999997,31.62096000000002,18.049323377161933,282.9295833771619,118.4000000000006,18.0,419.3295833771625,1123.8032834507956,0.0,0.0,1.0,0.0,7.0,12511.177771645747,0,3
smart,high_demand_seasonal,1,7.0,14.0,153.9777071931444,1020.318,29.342031944444447,60.13333333333316,11.000000000000002,1.3333333333333333,71.13333333333317,33.0,450.0,76.0,160145.5604269488,65.90352280944391,53.921064116817774,1.0,149.0,459.1430999999998,32.8315725,20.641189658209214,512.615862158209,180.40000000000148,33.0,726.0158621582104,1945.722510584004,0.0,25.0,0.0,7.0,92.0,5.0,11.0,130.87968768081646,973.941,27.881847222222223,56.13333333333318,10.666666666666668,1.1666666666666665,66.79999999999984,31.0,420.0,76.0,146110.7870942874,64.4227456324018,52.369457739887956,1.0,129.0,438.2734499999998,30.317805000000007,19.6293727963317,488.22062779633154,168.4000000000013,32.0,688.6206277963329,1845.5032824941723,0.0,24.0,0.0,7.0,81.0,6927.1764048431105,0,3
fixed,event_heavy,1,1.0,5.0,23.675377873714865,510.0869999999999,16.697373611111114,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,25.0,100546.5618521311,62.69270598087731,62.06577892106858,0.0,9.0,229.5391499999999,33.54963750000001,11.762534301882706,274.8513218018826,118.80000000000061,18.0,411.6513218018832,1103.2255424290472,0.0,0.0,0.0,0.0,7.0,1.0,5.0,23.675377873714865,510.0869999999999,16.697373611111114,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,25.0,100546.5618521311,62.69270598087731,62.06577892106858,0.0,9.0,229.5391499999999,33.54963750000001,11.762534301882706,274.8513218018826,118.80000000000061,18.0,411.6513218018832,1103.2255424290472,0.0,0.0,0.0,0.0,7.0,7817.348292286749,0,3
smart,event_heavy,1,0.0,0.0,0.0,699.7099999999997,21.029713888888892,38.13333333333324,7.33333333333333,0.16666666666666666,45.46666666666657,22.0,286.0,23.0,99080.96481658424,64.15498887372716,50.04089132150719,0.0,161.0,314.86950000000013,30.656407500000004,13.577848441801558,359.1037559418017,114.40000000000055,22.0,495.50375594180224,1327.95006592403,0.0,21.0,0.0,3.0,98.0,0.0,0.0,0.0,699.7099999999997,21.029713888888892,38.13333333333324,7.33333333333333,0.16666666666666666,45.46666666666657,22.0,286.0,23.0,99080.96481658424,64.15498887372716,50.04089132150719,0.0,141.0,314.86950000000013,30.656407500000004,13.577848441801558,359.1037559418017,114.40000000000055,22.0,495.50375594180224,1327.95006592403,0.0,21.0,0.0,3.0,87.0,9306.620705707392,0,3
fixed,persistent_multi_day_surge,1,47.0,568.0,3914.9558880161057,512.7069999999999,16.663450000000008,39.46666666666657,5.999999999999998,1.5,45.46666666666657,18.0,295.0,7.0,120827.17196975039,75.84882107328959,74.58467405540148,2.0,9.0,230.71814999999992,32.88804750000002,14.335107399641934,277.94130489964186,118.4000000000006,18.0,414.34130489964247,1110.434697131042,0.0,0.0,1.0,0.0,7.0,47.0,568.0,3914.9558880161057,512.7069999999999,16.663450000000008,39.46666666666657,5.999999999999998,1.5,45.46666666666657,18.0,295.0,7.0,120827.17196975039,75.84882107328959,74.58467405540148,2.0,9.0,230.71814999999992,32.88804750000002,14.335107399641934,277.94130489964186,118.4000000000006,18.0,414.34130489964247,1110.434697131042,0.0,0.0,1.0,0.0,7.0,8264.441595608561,0,3
smart,persistent_multi_day_surge,1,1.0,8.0,46.74338455819088,848.0849999999998,24.129550000000023,47.86666666666654,8.999999999999998,0.6666666666666666,56.86666666666654,27.0,359.0,51.0,123422.85392725912,63.66597231365881,50.79129791245231,0.0,153.0,381.63825,21.440070000000006,15.45690501696455,418.53522501696455,143.60000000000096,27.0,589.1352250169655,1578.8824030454675,0.0,23.0,0.0,10.0,93.0,1.0,8.0,46.74338455819088,848.0849999999998,24.129550000000023,47.86666666666654,8.999999999999998,0.6666666666666666,56.86666666666654,27.0,359.0,51.0,123422.85392725912,63.66597231365881,50.79129791245231,0.0,133.0,381.63825,21.440070000000006,15.45690501696455,418.53522501696455,143.60000000000096,27.0,589.1352250169655,1578.8824030454675,0.0,23.0,0.0,10.0,82.0,9536.972141557746,0,3
fixed,localized_surge,1,20.0,322.0,2157.7863677854248,511.57999999999987,16.780850000000004,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,295.0,8.0,109192.01008335232,68.54489019670572,67.40247536009402,2.0,9.0,230.21099999999993,33.491272500000015,12.941998468958396,276.6442709689583,118.80000000000061,18.0,413.4442709689589,1108.03064619681,0.0,0.0,0.0,0.0,7.0,20.0,322.0,2157.7863677854248,511.57999999999987,16.780850000000004,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,295.0,8.0,109192.01008335232,68.54489019670572,67.40247536009402,2.0,9.0,230.21099999999993,33.491272500000015,12.941998468958396,276.6442709689583,118.80000000000061,18.0,413.4442709689589,1108.03064619681,0.0,0.0,0.0,0.0,7.0,8264.441595608561,0,3
