policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days
fixed,base,1,0.0,0.0,0.0,510.98299999999983,16.79704861111112,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,2.0,102328.00167117068,63.80346780843665,63.16543313035228,0.0,11.0,229.94234999999992,33.84024750000001,11.970949041836427,275.7535465418364,118.80000000000061,18.0,412.553546541837,1105.6435047321233,0.0,0.0,0.0,0.0,510.98299999999983,16.79704861111112,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,2.0,102328.00167117068,63.80346780843665,63.16543313035228,0.0,11.0,229.94234999999992,33.84024750000001,11.970949041836427,275.7535465418364,118.80000000000061,18.0,412.553546541837,1105.6435047321233,0.0,10258.143439146032,0,3
smart,base,1,0.0,0.0,0.0,632.5409999999999,20.712599999999995,41.46666666666656,7.33333333333333,0.3333333333333333,48.79999999999989,22.0,311.0,99.0,102843.94694958054,61.23850598403035,51.941387348273,0.0,74.0,284.64345000000003,49.62674249999999,13.377751354747055,347.64794385474704,124.40000000000069,22.0,494.0479438547477,1324.0484895307238,0.0,0.0,0.0,0.0,600.759,19.798902777777776,39.86666666666657,6.999999999999997,0.3333333333333333,46.86666666666657,21.0,299.0,89.0,99935.94754055349,61.89517375235574,52.87616271986957,0.0,69.0,270.34155,47.115742499999996,12.981270179651862,330.43856267965185,119.60000000000062,21.0,471.0385626796525,1262.383347981469,0.0,9742.198160736143,0,3
fixed,high_demand,1,61.0,600.0,3693.170551618925,512.567,16.618820833333345,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,294.0,0.0,144603.64211075366,91.08317089364682,89.26150747577387,3.0,11.0,230.65514999999996,32.38461,17.099158236429115,280.13891823642905,118.80000000000061,18.0,416.9389182364297,1117.3963008736316,0.0,60.0,599.0,3688.4262070565846,512.567,16.618820833333345,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,294.0,0.0,144603.64211075366,91.08317089364682,89.26150747577387,3.0,11.0,230.65514999999996,32.38461,17.099158236429115,280.13891823642905,118.80000000000061,18.0,416.9389182364297,1117.3963008736316,0.0,14953.09774758656,0,3
smart,high_demand,1,0.0,0.0,0.0,937.9099999999996,30.889937499999995,61.99999999999982,10.333333333333334,0.5,72.33333333333316,31.0,463.0,109.0,154519.79888815497,61.80297531723668,55.38344046170429,2.0,72.0,422.05949999999973,68.05520999999997,20.56480761551701,510.6795176155167,186.00000000000156,31.0,727.6795176155183,1950.181107209589,0.0,0.0,0.0,0.0,869.8769999999995,28.54940277777777,56.79999999999984,9.666666666666666,0.5,66.46666666666651,29.0,424.0,97.0,142806.15427229184,62.37166067098702,54.715001636893426,2.0,67.0,391.4446499999997,63.755617500000014,18.764736302988247,473.96500380298795,170.40000000000134,29.0,673.3650038029893,1804.6182101920115,0.0,8730.111521804218,0,3
fixed,traffic,1,0.0,0.0,0.0,511.87899999999985,22.361175000000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,2.0,102386.17196857913,63.8397381023689,63.20134072134514,0.0,11.0,230.3455499999999,122.54846625000002,16.00990134700279,368.9039175970027,118.80000000000061,18.0,505.7039175970033,1355.2864991599688,0.0,0.0,0.0,0.0,511.87899999999985,22.361175000000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,2.0,102386.17196857913,63.8397381023689,63.20134072134514,0.0,11.0,230.3455499999999,122.54846625000002,16.00990134700279,368.9039175970027,118.80000000000061,18.0,505.7039175970033,1355.2864991599688,0.0,10199.973141737535,0,3
smart,traffic,1,0.0,0.0,0.0,627.513,27.642358125000005,41.33333333333323,7.33333333333333,0.3333333333333333,48.66666666666656,22.0,310.0,90.0,103764.44908915769,61.985931355530205,52.40628741876651,0.0,74.0,282.38085,164.22149925000008,18.09798134704468,464.70033059704474,124.00000000000068,22.0,610.7003305970454,1636.6768860000818,0.0,0.0,0.0,0.0,595.7310000000001,26.408866875000005,39.733333333333235,6.999999999999997,0.3333333333333333,46.733333333333235,21.0,298.0,80.0,100847.3397371984,62.66923921028975,53.35838081333249,0.0,69.0,268.0789500000001,155.8259842500001,17.561427720181438,441.4663619701816,119.20000000000061,21.0,581.6663619701822,1558.8658500800882,0.0,8821.696021159103,0,3
fixed,sensor_failure,1,0.0,0.0,0.0,511.8789999999999,16.89209305555556,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,3.0,102328.0016711707,63.803467808436714,63.165433130352284,0.0,129.0,230.3455499999999,34.284600000000026,11.979965073775439,276.6101150737753,118.80000000000061,18.0,413.41011507377596,1107.9391083977196,0.0,0.0,0.0,0.0,511.8789999999999,16.89209305555556,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,3.0,102328.0016711707,63.803467808436714,63.165433130352284,0.0,129.0,230.3455499999999,34.284600000000026,11.979965073775439,276.6101150737753,118.80000000000061,18.0,413.41011507377596,1107.9391083977196,0.0,10258.143439146032,0,3
smart,sensor_failure,1,0.0,0.0,0.0,1095.2579999999996,36.859434722222204,45.333333333333215,11.66666666666667,0.0,56.999999999999886,35.0,340.0,104.0,107558.25024583192,58.58292497049675,34.145476268518074,0.0,849.0,492.86609999999973,90.01592999999995,15.565766362977246,598.4477963629769,136.00000000000085,35.0,769.4477963629777,2062.1200942527803,0.0,0.0,0.0,0.0,1068.5129999999997,36.19716805555553,44.79999999999988,11.333333333333336,0.0,56.13333333333322,34.0,336.0,101.0,106539.46946399297,58.71884339946707,34.81682008627221,0.0,756.0,480.8308499999997,88.81240499999997,15.465062258705924,585.1083172587056,134.40000000000083,34.0,753.5083172587065,2019.4022902533336,0.0,5027.89486448474,0,3
fixed,truck_capacity,1,8.0,405.0,1850.1453433770748,527.9829999999998,16.97429444444445,38.93333333333324,5.999999999999998,1.5,44.93333333333324,18.0,287.0,3.0,100186.56602179287,64.64483547670211,95.14393734263331,10.0,11.0,237.59234999999993,32.47546500000001,18.79629381300259,288.86410881300253,116.80000000000058,18.0,423.6641088130031,1135.4198116188484,0.0,8.0,405.0,1850.1453433770748,527.9829999999998,16.97429444444445,38.93333333333324,5.999999999999998,1.5,44.93333333333324,18.0,287.0,3.0,100186.56602179287,64.64483547670211,95.14393734263331,10.0,11.0,237.59234999999993,32.47546500000001,18.79629381300259,288.86410881300253,116.80000000000058,18.0,423.6641088130031,1135.4198116188484,0.0,10549.433745146802,0,3
smart,truck_capacity,1,2.0,3.0,29.447733858486117,734.587,23.621369444444444,42.133333333333226,8.999999999999998,1.3333333333333333,51.133333333333226,27.0,314.0,95.0,107784.20868036641,63.567002052586886,68.239448357307,2.0,72.0,330.5641499999999,51.935872499999995,19.015991391506127,401.5160138915061,126.40000000000072,27.0,554.9160138915067,1487.1749172292382,0.0,2.0,3.0,29.447733858486117,702.805,22.70767222222222,40.53333333333323,8.666666666666664,1.3333333333333333,49.199999999999896,26.0,302.0,85.0,104876.20927133936,64.30966965375232,68.95214284769189,2.0,67.0,316.2622499999998,49.424872499999985,18.406020352898146,384.093142852898,121.60000000000065,26.0,531.6931428528986,1424.9376228457684,0.0,4772.488696091893,0,3
fixed,base,2,0.0,0.0,0.0,510.98299999999983,16.79704861111112,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,1.0,102440.591484967,63.873669712537065,63.23493301541172,0.0,10.0,229.94234999999992,33.84024750000001,12.006976115843871,275.78957361584384,118.80000000000061,18.0,412.5895736158444,1105.740057290463,0.0,0.0,0.0,0.0,510.98299999999983,16.79704861111112,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,1.0,102440.591484967,63.873669712537065,63.23493301541172,0.0,10.0,229.94234999999992,33.84024750000001,12.006976115843871,275.78957361584384,118.80000000000061,18.0,412.5895736158444,1105.740057290463,0.0,9991.172937196212,0,3
smart,base,2,0.0,0.0,0.0,653.4209999999997,21.919506944444443,43.466666666666555,6.999999999999997,0.16666666666666666,50.466666666666555,21.0,326.0,85.0,106543.8754061996,60.522537722221955,56.372420849841056,0.0,79.0,294.03944999999993,53.02421999999999,14.992906196513296,362.0565761965132,130.40000000000077,21.0,513.456576196514,1376.0636242066576,0.0,0.0,0.0,0.0,625.1899999999998,20.97858333333333,41.46666666666656,6.666666666666664,0.16666666666666666,48.133333333333226,20.0,311.0,71.0,102929.05178569246,61.28918172305132,57.18280654760692,0.0,69.0,281.3354999999999,50.669707499999994,14.525660115311851,346.53086761531176,124.40000000000069,20.0,490.9308676153124,1315.6947252090374,0.0,5887.889015963695,0,3
fixed,high_demand,2,59.0,532.0,3108.552346548851,508.16799999999984,16.332354166666683,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,295.0,0.0,145302.43975380113,91.21308208022663,89.69286404555625,2.0,10.0,228.67559999999997,31.23886500000001,17.28626124516318,277.2007262451632,118.80000000000061,18.0,414.00072624516383,1109.521946337039,0.0,58.0,529.0,3097.341617775463,508.16799999999984,16.332354166666683,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,295.0,0.0,145302.43975380113,91.21308208022663,89.69286404555625,2.0,10.0,228.67559999999997,31.23886500000001,17.28626124516318,277.2007262451632,118.80000000000061,18.0,414.00072624516383,1109.521946337039,0.0,14615.06631178677,0,3
smart,high_demand,2,2.0,3.0,13.529442442476238,897.6969999999993,29.070508333333322,61.06666666666649,10.333333333333334,1.6666666666666667,71.39999999999982,32.0,457.0,73.0,161251.00677317943,65.3420077693409,55.98993290735397,1.0,73.0,403.96364999999975,60.17966999999998,19.487017338807913,483.63033733880764,183.20000000000152,31.0,697.8303373388092,1870.1853040680087,0.0,2.0,3.0,13.529442442476238,815.8239999999993,26.275174999999997,56.26666666666651,9.333333333333332,1.5,65.59999999999984,29.0,421.0,67.0,150519.01420830443,66.20876845619087,57.67012038632354,1.0,63.0,367.12079999999986,53.847675,18.11841168886399,439.08688668886384,168.80000000000132,28.0,635.8868866888652,1704.1768563261587,0.0,1761.5221965148196,1,3
fixed,traffic,2,0.0,0.0,0.0,511.8789999999999,22.361175000000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,1.0,102494.63780675405,63.90736862872803,63.268294942440775,0.0,10.0,230.34554999999992,122.54846625000002,16.056744695372135,368.95076094537205,118.80000000000061,18.0,505.7507609453727,1355.4120393335988,0.0,0.0,0.0,0.0,511.8789999999999,22.361175000000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,1.0,102494.63780675405,63.90736862872803,63.268294942440775,0.0,10.0,230.34554999999992,122.54846625000002,16.056744695372135,368.95076094537205,118.80000000000061,18.0,505.7507609453727,1355.4120393335988,0.0,9937.126615409177,0,3
smart,traffic,2,0.0,0.0,0.0,653.4209999999997,29.47336312500002,43.33333333333322,6.999999999999997,0.16666666666666666,50.33333333333322,21.0,325.0,83.0,106422.51085231276,60.6396073232551,56.308206800165486,0.0,79.0,294.03944999999993,173.1862788750001,20.07657691513363,487.3023057901337,130.00000000000077,21.0,638.3023057901345,1710.6501795175604,0.0,0.0,0.0,0.0,625.1899999999998,28.203116250000022,41.33333333333323,6.666666666666664,0.16666666666666666,47.99999999999989,20.0,310.0,69.0,102802.7501704102,61.41143976727012,57.112638983561226,0.0,69.0,281.3354999999999,165.56130450000015,19.44502280294197,466.341827302942,124.00000000000068,20.0,610.3418273029426,1635.7160971718863,0.0,6009.253569850496,0,3
fixed,sensor_failure,2,0.0,0.0,0.0,510.08699999999993,16.702004166666676,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,102354.66561307348,63.820093286615176,63.18189235374906,0.0,116.0,229.53914999999992,33.395895000000024,12.00502100191309,274.940066001913,118.80000000000061,18.0,411.74006600191365,1103.4633768851286,0.0,0.0,0.0,0.0,510.08699999999993,16.702004166666676,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,102354.66561307348,63.820093286615176,63.18189235374906,0.0,116.0,229.53914999999992,33.395895000000024,12.00502100191309,274.940066001913,118.80000000000061,18.0,411.74006600191365,1103.4633768851286,0.0,10077.098809089766,0,3
smart,sensor_failure,2,0.0,0.0,0.0,1218.4679999999996,41.89864583333334,48.39999999999987,13.33333333333334,0.0,61.733333333333206,40.0,363.0,137.0,106890.84819456916,54.53058269287276,29.69190227626921,0.0,867.0,548.3105999999996,110.88452249999997,14.885701020624133,674.0808235206237,145.20000000000098,40.0,859.2808235206246,2302.872607035274,0.0,0.0,0.0,0.0,1181.331,40.64702777777779,46.266666666666545,13.000000000000005,0.0,59.26666666666655,39.0,347.0,136.0,101934.29921353771,54.39977543683302,29.041110887047783,0.0,770.0,531.5989499999998,108.26507249999997,14.149609432506033,654.0136319325059,138.8000000000009,39.0,831.8136319325067,2229.260533579118,0.0,5540.916227594056,0,3
fixed,truck_capacity,2,5.0,196.0,780.0270735403518,553.5069999999996,17.97459027777779,39.1999999999999,5.999999999999998,1.5,45.1999999999999,18.0,292.0,0.0,101572.38127152856,64.4167816283159,96.4600012075295,5.0,10.0,249.0781499999999,34.88976000000002,20.96408931347096,304.93199931347084,117.60000000000059,18.0,440.53199931347143,1180.6257581601035,1.0,5.0,196.0,780.0270735403518,553.5069999999996,17.97459027777779,39.1999999999999,5.999999999999998,1.5,45.1999999999999,18.0,292.0,0.0,101572.38127152856,64.4167816283159,96.4600012075295,5.0,10.0,249.0781499999999,34.88976000000002,20.96408931347096,304.93199931347084,117.60000000000059,18.0,440.53199931347143,1180.6257581601035,1.0,10079.356077094324,0,3
smart,truck_capacity,2,0.0,0.0,0.0,779.4919999999995,24.847943055555557,44.13333333333322,9.333333333333332,1.3333333333333333,53.466666666666555,28.0,329.0,76.0,109763.49929587616,61.78289952486552,67.01068333081572,2.0,75.0,350.7714,59.50457999999999,21.407643969849225,431.68362396984924,132.4000000000008,28.0,592.08362396985,1586.784112239198,0.0,0.0,0.0,0.0,751.2609999999995,23.907019444444444,42.133333333333226,8.999999999999998,1.3333333333333333,51.133333333333226,27.0,314.0,62.0,106148.67567536901,62.60242726785147,67.20397320377906,2.0,65.0,338.06745000000006,57.15006749999999,20.68880384492393,415.906321344924,126.40000000000072,27.0,569.3063213449248,1525.7409412043985,0.0,2668.2651262870268,0,3
fixed,base,3,0.0,0.0,0.0,512.7749999999999,16.987137500000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,102947.50714268831,64.18974132852497,63.5478439152397,0.0,18.0,230.7487499999999,34.72895250000003,12.069505847614222,277.5472083476141,118.80000000000061,18.0,414.3472083476147,1110.4505183716074,0.0,0.0,0.0,0.0,512.7749999999999,16.987137500000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,102947.50714268831,64.18974132852497,63.5478439152397,0.0,18.0,230.7487499999999,34.72895250000003,12.069505847614222,277.5472083476141,118.80000000000061,18.0,414.3472083476147,1110.4505183716074,0.0,10229.219460740218,0,3
smart,base,3,0.0,0.0,0.0,706.3499999999999,23.992105555555558,46.799999999999876,7.666666666666663,0.16666666666666666,54.46666666666654,23.0,351.0,125.0,109304.8128061456,57.66846723970966,52.80425739427323,0.0,95.0,317.8574999999998,57.492382500000005,14.532250288691667,389.8821327886915,140.40000000000092,23.0,553.2821327886924,1482.7961158736957,0.0,0.0,0.0,0.0,680.0219999999999,23.050195833333337,44.399999999999885,7.33333333333333,0.16666666666666666,51.73333333333321,22.0,333.0,109.0,104956.85122465287,58.367729520994864,53.008510719521645,0.0,87.0,306.00989999999996,55.216620000000006,13.985494163473398,375.2120141634733,133.2000000000008,22.0,530.4120141634742,1421.5041979581108,0.0,3871.9137972828585,0,3
fixed,high_demand,3,76.0,643.0,3846.357563092139,508.9629999999999,16.358475000000016,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,294.0,0.0,145355.008103538,91.55644249404004,89.72531364415926,3.0,18.0,229.03334999999998,31.70452500000001,17.17743995143276,277.9153149514327,118.80000000000061,18.0,414.71531495143336,1111.4370440698415,0.0,74.0,639.0,3824.8769087152937,508.9629999999999,16.358475000000016,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,294.0,0.0,145355.008103538,91.55644249404004,89.72531364415926,3.0,18.0,229.03334999999998,31.70452500000001,17.17743995143276,277.9153149514327,118.80000000000061,18.0,414.71531495143336,1111.4370440698415,0.0,14904.887908341238,0,3
smart,high_demand,3,2.0,5.0,24.533918713731396,989.4659999999997,32.105487499999995,62.93333333333315,11.333333333333336,1.3333333333333333,74.26666666666648,34.0,472.0,109.0,158262.90096232214,62.093103014093636,51.71990227526867,0.0,96.0,445.25969999999984,62.713822499999985,19.97863664636138,527.9521591463612,188.8000000000016,34.0,750.7521591463628,2012.0157865122526,0.0,2.0,5.0,24.533918713731396,921.5729999999995,29.709556944444444,57.99999999999984,10.666666666666668,1.3333333333333333,68.6666666666665,32.0,435.0,97.0,147503.35821228003,62.794107370063806,51.216443823708346,0.0,88.0,414.7078499999999,57.258427499999975,18.40371557972628,490.36999307972616,174.0000000000014,32.0,696.3699930797276,1866.27158145367,0.0,5818.818693935568,0,3
fixed,traffic,3,0.0,0.0,0.0,510.98299999999983,22.206341250000005,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,2.0,103013.12035242424,64.23065242076581,63.58834589655818,0.0,18.0,229.94234999999992,121.46283562500003,16.137269998017565,367.54245562301753,118.80000000000061,18.0,504.34245562301817,1351.6377810696888,0.0,0.0,0.0,0.0,510.98299999999983,22.206341250000005,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,2.0,103013.12035242424,64.23065242076581,63.58834589655818,0.0,18.0,229.94234999999992,121.46283562500003,16.137269998017565,367.54245562301753,118.80000000000061,18.0,504.34245562301817,1351.6377810696888,0.0,10163.606251004285,0,3
