bin_id,node_id,latitude,longitude,households,commercial_units,capacity_kg,area_type,bin_type,waste_stream,material_type,destination_id,capacity_litres,bulk_density_kg_per_m3,demand_rate_multiplier,controller_id,controller_channel,site_id,site_label,requested_latitude,requested_longitude,snap_distance_m,service_index
UGB-012,OSRM-SERVICE-04,3.071135,101.5877,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-003,4,SJ-03,SS14 residential cluster,3.071,101.5877,14.92795858,4
UGB-013,OSRM-SERVICE-05,3.076361,101.588738,11,2,540.0,mixed/commercial,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-004,1,SJ-04,SS15 commercial-residential cluster,3.0763,101.5888,9.643488537,5
UGB-014,OSRM-SERVICE-05,3.076361,101.588738,11,2,112.5,mixed/commercial,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-004,2,SJ-04,SS15 commercial-residential cluster,3.0763,101.5888,9.643488537,5
UGB-015,OSRM-SERVICE-05,3.076361,101.588738,11,1,315.0,mixed/commercial,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-004,3,SJ-04,SS15 commercial-residential cluster,3.0763,101.5888,9.643488537,5
UGB-016,OSRM-SERVICE-05,3.076361,101.588738,11,1,1125.0,mixed/commercial,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-004,4,SJ-04,SS15 commercial-residential cluster,3.0763,101.5888,9.643488537,5
UGB-017,OSRM-SERVICE-06,3.067696,101.578797,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-005,1,SJ-05,SS17 residential cluster,3.0678,101.5787,15.76434696,6
UGB-018,OSRM-SERVICE-06,3.067696,101.578797,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-005,2,SJ-05,SS17 residential cluster,3.0678,101.5787,15.76434696,6
UGB-019,OSRM-SERVICE-06,3.067696,101.578797,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-005,3,SJ-05,SS17 residential cluster,3.0678,101.5787,15.76434696,6
UGB-020,OSRM-SERVICE-06,3.067696,101.578797,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-005,4,SJ-05,SS17 residential cluster,3.0678,101.5787,15.76434696,6
UGB-021,OSRM-SERVICE-07,3.066065,101.574445,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-006,1,SJ-06,SS18 residential cluster,3.0662,101.5744,15.74376317,7
UGB-022,OSRM-SERVICE-07,3.066065,101.574445,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-006,2,SJ-06,SS18 residential cluster,3.0662,101.5744,15.74376317,7
UGB-023,OSRM-SERVICE-07,3.066065,101.574445,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-006,3,SJ-06,SS18 residential cluster,3.0662,101.5744,15.74376317,7
UGB-024,OSRM-SERVICE-07,3.066065,101.574445,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-006,4,SJ-06,SS18 residential cluster,3.0662,101.5744,15.74376317,7
UGB-025,OSRM-SERVICE-08,3.081999,101.579284,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-007,1,SJ-07,SS19 residential cluster,3.082,101.5793,1.781998602,8
UGB-026,OSRM-SERVICE-08,3.081999,101.579284,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-007,2,SJ-07,SS19 residential cluster,3.082,101.5793,1.781998602,8
UGB-027,OSRM-SERVICE-08,3.081999,101.579284,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-007,3,SJ-07,SS19 residential cluster,3.082,101.5793,1.781998602,8
UGB-028,OSRM-SERVICE-08,3.081999,101.579284,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-007,4,SJ-07,SS19 residential cluster,3.082,101.5793,1.781998602,8
UGB-029,OSRM-SERVICE-09,3.059093,101.5887,12,1,540.0,mixed/commercial,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-008,1,SJ-08,USJ 1 mixed-use cluster,3.059,101.5887,10.2837048,9
UGB-030,OSRM-SERVICE-09,3.059093,101.5887,11,1,112.5,mixed/commercial,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-008,2,SJ-08,USJ 1 mixed-use cluster,3.059,101.5887,10.2837048,9
UGB-031,OSRM-SERVICE-09,3.059093,101.5887,11,0,315.0,mixed/commercial,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-008,3,SJ-08,USJ 1 mixed-use cluster,3.059,101.5887,10.2837048,9
UGB-032,OSRM-SERVICE-09,3.059093,101.5887,11,0,1125.0,mixed/commercial,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-008,4,SJ-08,USJ 1 mixed-use cluster,3.059,101.5887,10.2837048,9
UGB-033,OSRM-SERVICE-10,3.058,101.581488,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-009,1,SJ-09,USJ 2 residential cluster,3.058,101.5815,1.333923367,10
UGB-034,OSRM-SERVICE-10,3.058,101.581488,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-009,2,SJ-09,USJ 2 residential cluster,3.058,101.5815,1.333923367,10
UGB-035,OSRM-SERVICE-10,3.058,101.581488,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-009,3,SJ-09,USJ 2 residential cluster,3.058,101.5815,1.333923367,10
UGB-036,OSRM-SERVICE-10,3.058,101.581488,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-009,4,SJ-09,USJ 2 residential cluster,3.058,101.5815,1.333923367,10
UGB-037,OSRM-SERVICE-11,3.046619,101.580001,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-010,1,SJ-10,USJ 4 residential cluster,3.0465,101.58,13.15917635,11
UGB-038,OSRM-SERVICE-11,3.046619,101.580001,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-010,2,SJ-10,USJ 4 residential cluster,3.0465,101.58,13.15917635,11
UGB-039,OSRM-SERVICE-11,3.046619,101.580001,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-010,3,SJ-10,USJ 4 residential cluster,3.0465,101.58,13.15917635,11
UGB-040,OSRM-SERVICE-11,3.046619,101.580001,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-010,4,SJ-10,USJ 4 residential cluster,3.0465,101.58,13.15917635,11
UGB-041,OSRM-SERVICE-12,3.073879,101.6073,11,1,540.0,mixed/commercial,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-011,1,SJ-11,Bandar Sunway mixed-use cluster,3.0739,101.6073,2.322126891,12
UGB-042,OSRM-SERVICE-12,3.073879,101.6073,11,1,112.5,mixed/commercial,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-011,2,SJ-11,Bandar Sunway mixed-use cluster,3.0739,101.6073,2.322126891,12
UGB-043,OSRM-SERVICE-12,3.073879,101.6073,11,1,315.0,mixed/commercial,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-011,3,SJ-11,Bandar Sunway mixed-use cluster,3.0739,101.6073,2.322126891,12
UGB-044,OSRM-SERVICE-12,3.073879,101.6073,10,1,1125.0,mixed/commercial,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-011,4,SJ-11,Bandar Sunway mixed-use cluster,3.0739,101.6073,2.322126891,12
